Scheme Name,Category,Official Link,Language
PM-Kisan Samman Nidhi,Agriculture,https://pmkisan.gov.in/,English
PM Fasal Bima Yojana,Agriculture,https://pmfby.gov.in/,English
Pashu Kisan Credit Card,Agriculture,https://dahd.nic.in/,English
Soil Health Card Scheme,Agriculture,https://soilhealth.dac.gov.in/,English
Paramparagat Krishi Vikas Yojana,Agriculture,https://dbtagriculture.nic.in/,English
PM Krishi Sinchai Yojana,Agriculture,https://pmksy.gov.in/,English
National Agriculture Market (e-NAM),Agriculture,https://www.enam.gov.in/,English
Kisan Credit Card (KCC),Agriculture,https://www.pib.gov.in/,English
PM Kusum Yojana,Agriculture,https://mnre.gov.in/,English
Gramin Bhandaran Yojana,Agriculture,https://www.nabard.org/,English
Livestock Insurance Scheme,Agriculture,https://dahd.nic.in/,English
Micro Irrigation Fund,Agriculture,https://www.nabard.org/,English
Sustainable Agriculture Mission,Agriculture,https://nmsa.dac.gov.in/,English
Agri-Clinic Business Centres,Agriculture,https://www.agriclinics.net/,English
Rainfed Area Development,Agriculture,https://nmsa.dac.gov.in/,English
National Food Security Mission,Agriculture,https://www.nfsm.gov.in/,English
Horticulture Development Mission,Agriculture,https://midh.gov.in/,English
Rashtriya Krishi Vikas Yojana,Agriculture,https://rkvy.nic.in/,English
Small Farmers Agri-Consortium,Agriculture,https://sfacindia.com/,English
Project on Soil Health,Agriculture,https://soilhealth.dac.gov.in/,English
Ayushman Bharat (PM-JAY),Health,https://dashboard.pmjay.gov.in/,English
PM Surakshit Matritva Abhiyan,Health,https://pmsma.mohfw.gov.in/,English
Janani Suraksha Yojana,Health,https://nhm.gov.in/,English
Mission Indradhanush,Health,https://www.nhp.gov.in/,English
PM Swasthya Suraksha Yojana,Health,https://pmssy-mohfw.nic.in/,English
National Health Mission,Health,https://nhm.gov.in/,English
Rashtriya Bal Swasthya Karyakram,Health,https://rbsk.gov.in/,English
PM Bhartiya Janaushadhi,Health,http://janaushadhi.gov.in/,English
TB Control Programme,Health,https://tbcindia.gov.in/,English
AIDS Control Programme,Health,https://naco.gov.in/,English
Leprosy Eradication Programme,Health,https://nlep.nic.in/,English
Atmanirbhar Swasth Bharat,Health,https://pib.gov.in/,English
Mental Health Programme,Health,https://main.mohfw.gov.in/,English
Pulse Polio Programme,Health,https://www.nhp.gov.in/,English
Rashtriya Swasthya Bima Yojana,Health,https://www.rsby.gov.in/,English
Ayushman Bhava Campaign,Health,https://ayushmanbhava.mohfw.gov.in/,English
Nikshay Poshan Yojana,Health,https://nikshay.in/,English
National Deworming Day,Health,https://nhm.gov.in/,English
PM Dialysis Programme,Health,https://nhm.gov.in/,English
Universal Immunization,Health,https://www.nhp.gov.in/,English
,,,
Samagra Shiksha Abhiyan,Education,https://samagra.education.gov.in/,English
PM POSHAN (Mid-Day Meal),Education,https://pmposhan.education.gov.in/,English
Beti Bachao Beti Padhao,Education,https://wcd.nic.in/bbbp-schemes,English
PM Shri Schools,Education,https://pmshrischools.education.gov.in/,English
Merit Cum Means Scholarship,Education,https://scholarships.gov.in/,English
Kasturba Gandhi Balika Vidyalaya,Education,https://samagra.education.gov.in/,English
